Job,Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs"
Credit Analyst,Georgia(1300000),        1760,         6.2,       39.87,       82920,         2.2,       23.66,       27.19,       31.80,       42.66,       62.99,       49210,       56560,       66150,       88730,      131010,       0.370
Credit Analyst,Hawaii(1500000),          90,         8.1,       40.44,       84110,         3.5,       25.28,       25.84,       36.95,       47.30,       64.07,       52570,       53760,       76860,       98390,      133260,       0.144
Credit Analyst,Idaho(1600000),         450,        10.6,       35.98,       74830,         9.1,       22.20,       27.54,       33.34,       37.17,       52.12,       46180,       57290,       69350,       77310,      108410,       0.545
Credit Analyst,Illinois(1700000),        3500,        12.4,       47.83,       99490,         3.9,       27.52,       32.13,       40.71,       59.61,       77.61,       57240,       66840,       84680,      123980,      161420,       0.582
Credit Analyst,Indiana(1800000),         760,         6.7,       34.97,       72730,         2.0,       21.78,       24.83,       31.01,       40.89,       51.04,       45300,       51640,       64490,       85040,      106170,       0.239
Credit Analyst,Iowa(1900000),         970,         2.7,       45.55,       94750,         1.1,       24.61,       30.36,       40.48,       51.72,       81.34,       51190,       63150,       84200,      107580,      169190,       0.625
Credit Analyst,Kansas(2000000),         590,        11.6,       37.08,       77130,         5.0,       23.01,       26.74,       32.20,       41.90,       58.37,       47860,       55610,       66980,       87150,      121410,       0.419
Credit Analyst,Kentucky(2100000),         810,         7.5,       39.52,       82210,         3.1,       21.78,       27.65,       35.88,       46.99,       61.33,       45300,       57520,       74640,       97730,      127570,       0.410
Credit Analyst,Louisiana(2200000),         230,        17.0,       32.63,       67870,         4.6,       20.02,       23.57,       27.49,       39.22,       47.84,       41640,       49020,       57170,       81570,       99500,       0.124
Credit Analyst,Maine(2300000),         230,        21.8,       39.22,       81580,         3.3,       26.71,       29.79,       36.95,       45.23,       51.68,       55550,       61970,       76860,       94070,      107490,       0.376
Credit Analyst,Maryland(2400000),        1130,         9.5,       44.89,       93370,         5.8,       22.75,       30.37,       38.60,       48.75,       67.42,       47330,       63180,       80280,      101400,      140220,       0.422
Credit Analyst,Massachusetts(2500000),        1990,         7.6,       48.47,      100820,         2.9,       28.88,       30.99,       41.32,       61.19,       78.83,       60080,       64470,       85950,      127280,      163960,       0.545
Credit Analyst,Michigan(2600000),        1460,         8.3,       36.54,       76010,         2.1,       23.59,       28.18,       32.43,       39.57,       52.14,       49060,       58610,       67460,       82310,      108460,       0.335
Credit Analyst,Minnesota(2700000),        1660,         8.4,       38.99,       81100,         1.8,       26.44,       29.63,       36.53,       44.59,       57.87,       55000,       61630,       75980,       92740,      120370,       0.575
Credit Analyst,Mississippi(2800000),         320,        15.0,       31.87,       66290,         4.1,       18.91,       22.12,       27.22,       36.93,       50.36,       39330,       46010,       56620,       76810,      104740,       0.277
Credit Analyst,Missouri(2900000),        1190,        11.4,       36.96,       76870,         3.1,       22.03,       27.44,       34.31,       43.05,       53.00,       45820,       57080,       71370,       89540,      110240,       0.414
Credit Analyst,Montana(3000000),         230,         8.8,       33.76,       70220,         4.3,       22.20,       25.12,       29.36,       38.23,       52.95,       46180,       52240,       61070,       79510,      110130,       0.455
Credit Analyst,Nebraska(3100000),         530,         8.3,       38.27,       79600,         1.8,       23.89,       29.67,       37.51,       44.37,       50.37,       49690,       61710,       78020,       92290,      104770,       0.534
Credit Analyst,Nevada(3200000),         360,        10.8,       39.78,       82740,         8.5,       23.03,       26.90,       34.05,       43.29,       72.22,       47910,       55940,       70830,       90040,      150220,       0.241
Credit Analyst,New Hampshire(3300000),         290,        10.7,       41.18,       85640,         4.5,       25.92,       28.80,       38.18,       50.39,       61.78,       53920,       59890,       79420,      104810,      128490,       0.430
Credit Analyst,New Jersey(3400000),        2250,         9.7,       45.60,       94850,         3.1,       29.77,       31.04,       38.33,       53.11,       70.26,       61920,       64560,       79730,      110470,      146130,       0.535
Credit Analyst,New Mexico(3500000),          90,        19.6,       40.50,       84240,         6.9,       23.30,       28.67,       39.66,       45.06,       60.84,       48460,       59630,       82490,       93730,      126540,       0.107
Credit Analyst,New York(3600000),        8550,         3.2,       68.45,      142370,         1.2,       32.77,       42.01,       62.34,       86.05,      108.04,       68170,       87370,      129670,      178990,      224710,       0.911
Credit Analyst,North Carolina(3700000),        3390,         4.1,       47.95,       99730,         1.2,       28.88,       34.50,       43.13,       57.23,       69.62,       60070,       71760,       89710,      119030,      144800,       0.707
Credit Analyst,North Dakota(3800000),         300,        11.6,       42.48,       88360,         4.0,       28.26,       32.14,       39.45,       48.54,       60.40,       58780,       66850,       82050,      100960,      125630,       0.727
Credit Analyst,Ohio(3900000),        3020,         6.7,       39.34,       81830,         3.0,       23.02,       27.69,       33.65,       47.60,       63.67,       47890,       57580,       69990,       99010,      132440,       0.552
Credit Analyst,Oklahoma(4000000),         770,         9.7,       35.63,       74100,         3.4,       20.00,       23.27,       30.53,       43.26,       57.69,       41600,       48410,       63500,       89980,      120000,       0.465
Credit Analyst,Oregon(4100000),         820,         6.9,       39.14,       81420,         2.5,       23.63,       28.65,       36.42,       46.34,       58.64,       49140,       59590,       75750,       96390,      121970,       0.424
Credit Analyst,Pennsylvania(4200000),        2440,         7.4,       40.98,       85230,         2.9,       23.50,       28.77,       37.33,       49.71,       64.40,       48880,       59840,       77640,      103390,      133960,       0.411
Credit Analyst,Puerto Rico(7200000),         780,         5.3,       23.08,       48010,         1.9,       11.88,       15.55,       20.82,       26.57,       37.13,       24720,       32350,       43300,       55270,       77240,       0.837
Credit Analyst,Rhode Island(4400000),         220,        24.2,       43.87,       91240,         7.6,       31.14,       31.94,       37.72,       47.29,       68.88,       64770,       66430,       78460,       98360,      143270,       0.458
Credit Analyst,South Carolina(4500000),         900,        13.5,       41.20,       85700,         5.3,       23.23,       29.15,       36.02,       47.86,       67.98,       48320,       60640,       74920,       99540,      141400,       0.406
Credit Analyst,South Dakota(4600000),         340,        14.2,       35.29,       73400,         8.6,       22.17,       25.57,       31.22,       38.27,       60.41,       46110,       53190,       64940,       79600,      125650,       0.772
Credit Analyst,Tennessee(4700000),        1280,        11.3,       35.79,       74450,         2.8,       21.87,       25.71,       30.59,       39.33,       59.16,       45490,       53470,       63630,       81800,      123050,       0.399
Credit Analyst,Texas(4800000),        7120,         4.2,       40.13,       83470,         2.1,       22.99,       28.03,       35.62,       46.79,       62.77,       47810,       58300,       74080,       97310,      130560,       0.525
Credit Analyst,Utah(4900000),         980,        10.2,       33.75,       70200,         3.1,       22.21,       24.17,       28.34,       38.20,       51.38,       46190,       50270,       58950,       79450,      106870,       0.586
Credit Analyst,Vermont(5000000),          80,        17.2,       41.83,       87010,         6.9,       24.54,       29.50,       35.60,       50.53,       61.94,       51040,       61370,       74040,      105100,      128840,       0.252
Credit Analyst,Virgin Islands(7800000),          40,        22.1,       55.63,      115700,         5.5,       23.91,       39.45,       49.00,       64.03,       80.51,       49740,       82060,      101910,      133170,      167450,       1.136
Credit Analyst,Virginia(5100000),        2130,         7.4,       51.45,      107020,         2.2,       28.52,       36.45,       47.23,       64.32,       82.98,       59320,       75820,       98240,      133790,      172610,       0.535
Credit Analyst,Washington(5300000),        1610,         9.4,       49.89,      103770,         3.9,       24.81,       32.75,       45.82,       55.55,       78.96,       51600,       68120,       95310,      115550,      164230,       0.461
Credit Analyst,West Virginia(5400000),         130,        13.3,       29.89,       62180,         3.5,       21.44,       23.14,       25.24,       32.70,       43.73,       44600,       48130,       52500,       68010,       90950,       0.184
Credit Analyst,Wisconsin(5500000),        1880,         5.5,       40.45,       84130,         2.9,       23.57,       27.70,       31.47,       42.37,       73.57,       49030,       57620,       65460,       88130,      153020,       0.652
Credit Analyst,Wyoming(5600000),         100,        38.5,       40.73,       84710,        10.0,       24.98,       31.82,       45.18,       45.18,       45.88,       51960,       66180,       93980,       93980,       95430,       0.369
Financial and Investment Analyst,Alabama(0100000),        2250,        11.3,       47.91,       99640,         3.3,       28.14,       35.43,       40.86,       54.48,       74.51,       58530,       73700,       84990,      113310,      154980,       1.095
Financial and Investment Analyst,Alaska(0200000),         270,        10.1,       53.16,      110580,         4.3,       28.20,       31.50,       44.13,       60.96,      102.30,       58660,       65520,       91790,      126810,      212780,       0.854
Financial and Investment Analyst,Arizona(0400000),        6260,         5.3,       48.86,      101630,         8.1,       27.80,       31.00,       39.21,       50.21,       63.90,       57820,       64490,       81560,      104430,      132920,       2.000
Financial and Investment Analyst,Arkansas(0500000),        1310,         7.8,       40.71,       84690,         2.3,       24.05,       30.81,       36.63,       47.91,       61.75,       50030,       64080,       76190,       99650,      128440,       1.033
Financial and Investment Analyst,California(0600000),       35660,         2.7,       60.20,      125220,         1.3,       32.35,       40.37,       52.44,       71.14,       90.38,       67290,       83960,      109080,      147960,      187990,       1.987
Financial and Investment Analyst,Colorado(0800000),        8460,         6.7,       54.56,      113480,         4.0,       29.31,       37.57,       46.91,       61.79,       82.15,       60970,       78140,       97570,      128520,      170870,       2.989
Financial and Investment Analyst,Connecticut(0900000),        5610,         5.3,       56.28,      117060,         4.2,       32.24,       38.71,       48.94,       64.99,       99.47,       67070,       80520,      101780,      135190,      206890,       3.380
Financial and Investment Analyst,Delaware(1000000),        2920,         2.6,       52.46,      109110,         1.3,       32.05,       37.74,       46.51,       62.01,       77.55,       66650,       78500,       96750,      128970,      161290,       6.225
Financial and Investment Analyst,District of Columbia(1100000),        3710,         9.2,       55.59,      115620,         3.2,       31.61,       39.06,       49.47,       63.68,       85.04,       65750,       81230,      102890,      132440,      176870,       5.291
Financial and Investment Analyst,Florida(1200000),       18070,         5.7,       46.16,       96010,         2.0,       26.48,       31.56,       39.27,       50.40,       70.81,       55080,       65640,       81680,      104830,      147270,       1.888
Financial and Investment Analyst,Georgia(1300000),       10450,         4.7,       48.08,      100010,         2.3,       28.99,       35.89,       40.20,       52.73,       75.17,       60300,       74640,       83610,      109670,      156340,       2.196
Financial and Investment Analyst,Hawaii(1500000),         520,         3.9,       40.79,       84850,         1.2,       27.78,       31.80,       40.95,       47.75,       51.36,       57790,       66150,       85180,       99320,      106830,       0.845
Financial and Investment Analyst,Idaho(1600000),         840,         9.5,       41.49,       86300,         3.3,       24.70,       29.03,       36.94,       49.05,       71.75,       51370,       60380,       76830,      102020,      149240,       1.017
Financial and Investment Analyst,Illinois(1700000),       17060,         3.3,       57.88,      120390,         1.7,       31.32,       38.43,       48.80,       63.87,      100.39,       65140,       79920,      101510,      132850,      208800,       2.837
Financial and Investment Analyst,Indiana(1800000),        2430,         4.3,       41.60,       86530,         1.1,       27.75,       31.42,       39.09,       48.12,       57.74,       57710,       65360,       81310,      100090,      120100,       0.771
Financial and Investment Analyst,Iowa(1900000),        2180,         6.6,       43.81,       91130,         2.5,       26.40,       31.96,       41.18,       50.89,       61.36,       54900,       66470,       85650,      105840,      127640,       1.409
Financial and Investment Analyst,Kansas(2000000),        1790,         7.8,       39.54,       82250,         3.4,       25.10,       29.74,       38.07,       45.47,       58.00,       52210,       61860,       79190,       94580,      120640,       1.269
Financial and Investment Analyst,Kentucky(2100000),        2340,         9.8,       35.74,       74340,         6.9,       23.01,       23.26,       29.61,       40.20,       54.30,       47850,       48370,       61590,       83610,      112940,       1.190
Financial and Investment Analyst,Louisiana(2200000),        1700,        18.2,       31.29,       65070,         4.0,       19.30,       22.56,       25.01,       35.10,       46.64,       40140,       46930,       52010,       73000,       97020,       0.919
Financial and Investment Analyst,Maine(2300000),         710,         6.4,       43.31,       90080,         1.9,       29.34,       34.29,       41.40,       48.86,       63.20,       61030,       71310,       86100,      101620,      131450,       1.146
Financial and Investment Analyst,Maryland(2400000),        3810,         5.3,       52.72,      109650,         3.7,       30.08,       36.88,       46.94,       61.08,       80.14,       62570,       76700,       97640,      127040,      166690,       1.425
Financial and Investment Analyst,Massachusetts(2500000),       16840,         5.0,       61.42,      127760,         3.5,       31.86,       38.34,       49.64,       74.86,      100.72,       66270,       79750,      103240,      155700,      209490,       4.622
Financial and Investment Analyst,Michigan(2600000),        7520,         4.3,       46.01,       95710,         4.1,       29.34,       33.64,       40.35,       50.84,       62.67,       61040,       69970,       83920,      105760,      130350,       1.731
Financial and Investment Analyst,Minnesota(2700000),        6620,         5.3,       49.49,      102950,         2.6,       30.62,       36.95,       47.78,       60.13,       73.36,       63690,       76850,       99380,      125070,      152590,       2.297
Financial and Investment Analyst,Mississippi(2800000),         650,         7.6,       41.63,       86580,         4.6,       23.41,       28.92,       37.01,       46.99,       62.20,       48690,       60160,       76970,       97740,      129380,       0.563
Financial and Investment Analyst,Missouri(2900000),        5650,         6.0,       41.50,       86310,         2.2,       23.04,       28.88,       38.00,       50.06,       62.90,       47910,       60060,       79030,      104120,      130840,       1.964
Financial and Investment Analyst,Montana(3000000),         390,        20.7,       61.88,      128720,        19.2,       24.67,       31.15,       44.20,       89.67,           -,       51320,       64780,       91940,      186510,           -,       0.770
Financial and Investment Analyst,Nebraska(3100000),         940,         7.9,       43.93,       91370,         4.2,       26.30,       31.38,       38.50,       48.85,       58.99,       54700,       65270,       80080,      101610,      122700,       0.938
Financial and Investment Analyst,Nevada(3200000),        1030,        11.6,       45.77,       95200,         4.3,       28.90,       30.87,       39.48,       51.50,       81.60,       60110,       64210,       82110,      107120,      169720,       0.694
Financial and Investment Analyst,New Hampshire(3300000),         690,         8.6,       46.09,       95870,         2.0,       30.97,       33.19,       41.95,       53.59,       69.53,       64410,       69040,       87250,      111460,      144620,       1.019
Financial and Investment Analyst,New Jersey(3400000),       11250,         4.1,       61.67,      128280,         4.5,       32.64,       39.69,       49.85,       66.45,       95.93,       67880,       82560,      103680,      138210,      199530,       2.677
Financial and Investment Analyst,New Mexico(3500000),         810,         7.6,       43.43,       90340,         4.3,       28.78,       29.02,       38.89,       45.62,       67.22,       59850,       60350,       80900,       94890,      139830,       0.956
Financial and Investment Analyst,New York(3600000),       49220,         2.9,       68.91,      143330,         1.5,       37.11,       46.70,       60.15,       81.68,      106.67,       77200,       97130,      125110,      169890,      221870,       5.241
Financial and Investment Analyst,North Carolina(3700000),       10490,         4.6,       50.29,      104610,         1.3,       30.47,       37.99,       48.07,       59.88,       76.88,       63380,       79030,       99990,      124560,      159910,       2.187
Financial and Investment Analyst,North Dakota(3800000),         280,        12.9,       39.48,       82130,         3.1,       27.16,       29.96,       38.23,       47.63,       50.89,       56490,       62310,       79520,       99070,      105860,       0.664
Financial and Investment Analyst,Ohio(3900000),        7820,         2.4,       45.96,       95600,         0.9,       27.59,       31.62,       40.37,       51.28,       65.77,       57380,       65770,       83960,      106660,      136800,       1.430
Financial and Investment Analyst,Oklahoma(4000000),        1760,         7.2,       43.03,       89500,         3.3,       24.10,       30.08,       38.25,       48.73,       65.25,       50120,       62570,       79560,      101360,      135720,       1.060
Financial and Investment Analyst,Oregon(4100000),        2390,         5.1,       49.93,      103840,         2.0,       29.23,       38.60,       48.95,       58.93,       66.55,       60790,       80290,      101820,      122580,      138420,       1.228
Financial and Investment Analyst,Pennsylvania(4200000),       12020,         4.6,       45.38,       94400,         1.9,       23.95,       31.04,       39.81,       50.81,       67.25,       49820,       64560,       82810,      105680,      139890,       2.021
Financial and Investment Analyst,Puerto Rico(7200000),        1290,         6.2,       32.08,       66730,         2.8,       18.20,       22.59,       28.31,       37.92,       46.31,       37850,       46980,       58890,       78880,       96330,       1.391
Financial and Investment Analyst,Rhode Island(4400000),        1870,         9.2,       46.68,       97090,         7.7,       17.11,       30.48,       38.92,       51.51,       74.66,       35590,       63400,       80950,      107140,      155280,       3.828
Financial and Investment Analyst,South Carolina(4500000),        3470,         4.4,       49.46,      102870,         3.4,       25.08,       33.57,       42.23,       63.20,       80.30,       52160,       69830,       87840,      131450,      167010,       1.562
Financial and Investment Analyst,South Dakota(4600000),         620,         7.5,       41.37,       86050,         5.3,       20.63,       28.68,       38.39,       49.20,       66.07,       42910,       59660,       79860,      102330,      137430,       1.389
Financial and Investment Analyst,Tennessee(4700000),        3230,         4.6,       45.75,       95160,         3.6,       24.90,       31.73,       40.14,       50.58,       66.96,       51800,       66000,       83490,      105210,      139270,       1.003
Financial and Investment Analyst,Texas(4800000),       25100,         3.5,       49.32,      102590,         3.4,       27.69,       34.23,       42.29,       52.69,       66.70,       57590,       71200,       87950,      109600,      138730,       1.852
Financial and Investment Analyst,Utah(4900000),        4370,         6.5,       47.62,       99050,         2.9,       23.32,       29.57,       39.45,       57.56,      101.20,       48500,       61510,       82050,      119730,      210500,       2.604
Financial and Investment Analyst,Vermont(5000000),         270,        13.4,       52.31,      108800,         7.9,       30.46,       35.14,       44.98,       63.98,       74.60,       63350,       73100,       93560,      133080,      155160,       0.892
Financial and Investment Analyst,Virgin Islands(7800000),          30,        15.6,       33.56,       69810,         3.9,       21.68,       26.44,       29.05,       37.93,       41.92,       45090,       55000,       60420,       78890,       87200,       0.893
Financial and Investment Analyst,Virginia(5100000),        9130,         4.9,       54.71,      113800,         2.1,       29.60,       38.35,       49.55,       65.01,       83.94,       61570,       79760,      103060,      135220,      174590,       2.292
Financial and Investment Analyst,Washington(5300000),        7420,         6.8,       48.49,      100860,         2.2,       27.83,       36.18,       47.15,       59.06,       69.22,       57880,       75260,       98080,      122850,      143980,       2.124
Financial and Investment Analyst,West Virginia(5400000),         320,         7.2,       35.82,       74500,         1.8,       23.84,       27.71,       32.26,       44.87,       49.87,       49590,       57640,       67090,       93330,      103720,       0.470
Financial and Investment Analyst,Wisconsin(5500000),        4490,         5.5,       49.08,      102090,         1.4,       27.66,       34.84,       42.71,       56.23,       68.87,       57530,       72460,       88830,      116960,      143240,       1.555
Software Quality Assurance Analysts and Tester,Alabama(0100000),1850,10,49,101520,3,31,38,45,62,69,63500,78340,94530,128510,142510,1
Software Quality Assurance Analysts and Tester,Alaska(0200000),           -,           -,52,107600,9,48,48,48,63,63,99650,99650,99650,131830,131830,           -
Software Quality Assurance Analysts and Tester,Arizona(0400000),3460,5,47,98250,2,28,37,47,56,67,58950,77630,97610,116360,139760,1
Software Quality Assurance Analysts and Tester,California(0600000),32940,2,64,132750,1,35,46,62,78,95,71890,95520,129400,162360,196730,2
Software Quality Assurance Analysts and Tester,Colorado(0800000),6430,12,55,114210,2,34,44,56,62,76,71410,90730,115940,129540,157830,2
Software Quality Assurance Analysts and Tester,Connecticut(0900000),1300,7,46,96610,3,26,37,48,56,63,54130,76470,99110,116370,131890,1
Software Quality Assurance Analysts and Tester,Delaware(1000000),590,14,54,113210,3,27,40,53,63,73,57130,84020,109650,130540,151130,1
Software Quality Assurance Analysts and Tester,District of Columbia(1100000),690,20,59,122160,5,41,43,59,65,78,84860,90160,121970,135770,161600,1
Software Quality Assurance Analysts and Tester,Florida(1200000),11620,8,47,97240,6,26,34,46,57,69,53410,70560,95690,117930,143290,1
Software Quality Assurance Analysts and Tester,Georgia(1300000),6060,5,48,99030,2,28,37,48,58,65,57970,77480,98820,121040,135810,1
Software Quality Assurance Analysts and Tester,Hawaii(1500000),           -,           -,54,112880,6,35,46,56,69,71,73480,95430,116460,142540,147080,           -
Software Quality Assurance Analysts and Tester,Idaho(1600000),720,21,57,119560,27,16,22,37,52,114,33620,46510,76720,108190,237830,1
Software Quality Assurance Analysts and Tester,Illinois(1700000),7700,6,46,94850,3,28,32,44,54,63,58870,67080,92520,112970,131540,1
Software Quality Assurance Analysts and Tester,Indiana(1800000),1550,11,43,88630,2,26,32,41,49,62,54430,65510,84630,102440,128170,0
Software Quality Assurance Analysts and Tester,Iowa(1900000),1320,14,42,86940,7,18,30,41,50,58,36810,62280,86110,103850,121160,1
Software Quality Assurance Analysts and Tester,Kansas(2000000),1200,5,42,87510,2,25,32,40,49,59,52880,65850,83970,101980,123380,1
Software Quality Assurance Analysts and Tester,Kentucky(2100000),1350,12,36,75120,7,17,23,37,45,54,34660,47120,76500,94580,112390,1
Software Quality Assurance Analysts and Tester,Louisiana(2200000),330,22,36,75070,7,20,28,33,43,60,41040,57970,69050,90270,125190,0
Software Quality Assurance Analysts and Tester,Maine(2300000),310,9,42,87090,3,23,36,40,51,56,47450,75740,83940,105790,116190,1
Software Quality Assurance Analysts and Tester,Maryland(2400000),7440,7,57,119570,2,30,41,54,69,86,61410,85000,113330,144060,179810,3
Software Quality Assurance Analysts and Tester,Massachusetts(2500000),6400,9,57,118720,3,37,46,58,65,79,76390,95400,121320,135930,163310,2
Software Quality Assurance Analysts and Tester,Michigan(2600000),3280,5,41,85160,2,23,29,40,49,59,48070,60950,82950,101690,122680,1
Software Quality Assurance Analysts and Tester,Minnesota(2700000),2640,8,49,101950,2,32,38,49,60,65,66750,78720,101630,123970,135200,1
Software Quality Assurance Analysts and Tester,Mississippi(2800000),430,20,41,85620,6,23,30,40,49,60,48260,62650,82500,102070,125280,0
Software Quality Assurance Analysts and Tester,Missouri(2900000),3020,9,37,76900,4,19,26,36,48,57,39560,54140,73910,98840,119000,1
Software Quality Assurance Analysts and Tester,Montana(3000000),170,15,37,77780,6,26,28,32,45,59,54470,58490,67460,93910,122700,0
Software Quality Assurance Analysts and Tester,Nebraska(3100000),1660,5,44,91450,3,28,36,42,51,59,58930,75040,86460,105770,122710,2
Software Quality Assurance Analysts and Tester,Nevada(3200000),870,30,39,80750,7,24,31,39,46,54,48980,63910,82000,95450,112740,1
Software Quality Assurance Analysts and Tester,New Hampshire(3300000),790,19,49,102370,4,24,37,49,60,71,49130,76760,102620,125520,147520,1
Software Quality Assurance Analysts and Tester,New Jersey(3400000),6540,4,55,115180,1,33,43,51,65,79,68000,88470,106000,134910,163350,2
Software Quality Assurance Analysts and Tester,New Mexico(3500000),550,11,59,123060,7,31,39,48,97,100,64700,81760,98880,201010,207840,1
Software Quality Assurance Analysts and Tester,New York(3600000),11750,5,60,123920,1,32,41,54,74,90,65870,86070,111750,154660,186350,1
Software Quality Assurance Analysts and Tester,North Carolina(3700000),8360,5,48,100100,2,24,36,48,59,69,49460,74830,99320,122610,142820,2
Software Quality Assurance Analysts and Tester,North Dakota(3800000),150,17,39,81430,9,32,33,39,44,47,65610,68870,80530,91000,98430,0
Software Quality Assurance Analysts and Tester,Ohio(3900000),4500,4,43,88900,1,27,33,40,50,59,57080,69010,82550,104950,122680,1
Software Quality Assurance Analysts and Tester,Oklahoma(4000000),1210,11,35,72340,3,19,25,32,43,49,40190,52460,66560,89420,102900,1
Software Quality Assurance Analysts and Tester,Oregon(4100000),2170,7,47,97840,3,23,32,43,61,78,46840,67170,89920,127040,162630,1
Software Quality Assurance Analysts and Tester,Pennsylvania(4200000),5490,6,45,93720,2,28,34,44,55,63,57560,70580,91240,114980,131020,1
Software Quality Assurance Analysts and Tester,Puerto Rico(7200000),270,19,26,54410,10,11,17,25,36,41,23100,35780,51190,74050,86140,0
Software Quality Assurance Analysts and Tester,Rhode Island(4400000),320,22,49,101820,5,34,40,45,61,62,70510,82840,94150,126460,128980,1
Software Quality Assurance Analysts and Tester,South Carolina(4500000),1610,6,42,88310,7,20,29,41,51,66,41860,59550,84260,106850,136650,1
Software Quality Assurance Analysts and Tester,South Dakota(4600000),310,15,33,68260,4,24,27,31,38,45,49830,55780,64330,79890,93230,1
Software Quality Assurance Analysts and Tester,Tennessee(4700000),2320,19,41,84300,4,28,33,39,44,54,58520,67880,81490,90760,111310,1
Software Quality Assurance Analysts and Tester,Texas(4800000),22070,8,50,103890,3,28,38,48,61,75,58270,78060,100230,126480,156360,2
Software Quality Assurance Analysts and Tester,Utah(4900000),3060,22,41,84520,7,20,26,39,50,64,41800,55020,81230,105030,132980,2
Software Quality Assurance Analysts and Tester,Vermont(5000000),100,10,34,71230,2,25,27,32,37,47,52210,57120,66050,76480,97200,0
Software Quality Assurance Analysts and Tester,Virginia(5100000),9120,6,55,114330,1,35,43,53,64,78,71840,88790,110110,132600,162930,2
Software Quality Assurance Analysts and Tester,Washington(5300000),10840,7,59,123280,3,28,40,59,76,83,58960,84040,122480,157830,172710,3
Software Quality Assurance Analysts and Tester,West Virginia(5400000),360,28,31,63530,23,13,13,30,46,55,27010,27880,62730,95580,113620,1
Software Quality Assurance Analysts and Tester,Wisconsin(5500000),3540,7,42,88280,2,27,31,39,49,63,57080,65280,82100,102410,131480,1
